Postinumero-kunta-avain (vuoden 2021 aluejako);;;;;;;;;;;;;;;;;;
Huom! Postinumeroalueen kunta on määritelty sen mukaan, minkä kunnan puolella suurin osa postinumeroalueen pinta-alasta sijaitsee.;;;;;;;;;;;;;;;;;;
Postinumeroalue;Postinumeroalueen nimi;Postinumeroalueen nimi (sv);Kunta;Kunnan nimi;Kuntaryhmä;Kuntaryhmän nimi;Seutukunta;Seutukunnan nimi;Maakunta;Maakunnan nimi;Suuralue;Suuralueen nimi;AVI;AVI:n nimi;ELY;ELY:n nimi;Sairaanhoitopiiri;Sairaanhoitopiirin nimi
00100;Helsinki Keskusta - Etu-Töölö;Helsingfors centrum - Främre Tölö;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00120;Punavuori;Rödbergen;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00130;Kaartinkaupunki;Gardesstaden;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00140;Kaivopuisto - Ullanlinna;Brunnsparken - Ulrikasborg;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00150;Eira - Hernesaari;Eira - Ärtholmen;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00160;Katajanokka;Skatudden;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00170;Kruununhaka;Kronohagen;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00180;Kamppi - Ruoholahti;Kampen - Gräsviken;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00190;Suomenlinna;Sveaborg;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00200;Lauttasaari;Drumsö;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00210;Vattuniemi;Hallonnäs;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00220;Jätkäsaari;Busholmen;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00230;Ilmala;Ilmala;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00240;Länsi-Pasila;Västra Böle;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00250;Taka-Töölö;Bortre Tölö;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00260;Keski-Töölö;Mellersta Tölö;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00270;Pohjois-Meilahti;Norra Mejlans;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00280;Ruskeasuo;Brunakärr;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
